first_currency;second_currency;UNIX timestamp;open;high;low;close;volume
BTC;USDT;1,50301E+12;4261.48;4485.39;4200.74;4285.08;795.15
BTC;USDT;1,5031E+12;4285.08;4371.52;3938.77;4108.37;1199.89
BTC;USDT;1,50319E+12;4108.37;4184.69;3850;4139.98;381.31
BTC;USDT;1,50327E+12;4120.98;4211.08;4032.62;4086.29;467.083
BTC;USDT;1,50336E+12;4069.13;4119.62;3911.79;4016;691.743
BTC;USDT;1,50345E+12;4016;4104.82;3400;4040;966.685
BTC;USDT;1,50353E+12;4040;4265.8;4013.89;4114.01;1001.14
BTC;USDT;1,50362E+12;4147;4371.68;4085.01;4316.01;787.419
BTC;USDT;1,50371E+12;4316.01;4453.91;4247.48;4280.68;573.613
BTC;USDT;1,50379E+12;4280.71;4367;4212.41;4337.44;228.108
BTC;USDT;1,50388E+12;4332.51;4400;4285.54;4310.01;350.693
BTC;USDT;1,50396E+12;4310.01;4399.82;4124.54;4386.69;603.842
BTC;USDT;1,50405E+12;4353.65;4625.85;4313.55;4587.48;603.545
BTC;USDT;1,50414E+12;4564.52;4647.51;4416.01;4555.14;808.469
BTC;USDT;1,50422E+12;4555.14;4745.42;4555.14;4724.89;556.957
BTC;USDT;1,50431E+12;4689.89;4885.55;4654.88;4834.91;560.666
BTC;USDT;1,5044E+12;4796.16;4939.19;4286.87;4472.14;929.149
BTC;USDT;1,50448E+12;4508.5;4714.76;4298.33;4509.08;691.216
BTC;USDT;1,50457E+12;4505;4527.49;3972.51;4100.11;1394.64
BTC;USDT;1,50466E+12;4106.97;4484.99;3603;4366.47;1228.94
BTC;USDT;1,50474E+12;4366.49;4662.87;4335.26;4619.77;807.364
BTC;USDT;1,50483E+12;4619.77;4788.59;4438.19;4691.61;500.43
BTC;USDT;1,50492E+12;4691.66;4735.39;4028.93;4282.8;1132.26
BTC;USDT;1,505E+12;4282.8;4426.62;4150.06;4258.81;658.783
BTC;USDT;1,50509E+12;4258.81;4283;3801;4130.37;660.373
BTC;USDT;1,50517E+12;4153.62;4334.43;4098.91;4208.47;699.989
BTC;USDT;1,50526E+12;4208.6;4394.59;4040.8;4163.72;879.63
BTC;USDT;1,50535E+12;4159.72;4165.38;3760;3944.69;913.463
BTC;USDT;1,50543E+12;3944;3993;3165.13;3189.02;1665.02
BTC;USDT;1,50552E+12;3188.01;3856;2817;3700;1968.87
BTC;USDT;1,50561E+12;3674.01;3950;3470.66;3714.95;1297.56
BTC;USDT;1,50569E+12;3685.23;3748.21;3499.02;3699.99;682.171
BTC;USDT;1,50578E+12;3690;4123.2;3690;4035.01;1030.01
BTC;USDT;1,50587E+12;4060;4089.97;3830.91;3910.04;902.332
BTC;USDT;1,50595E+12;3910.04;4046.08;3820;3900;720.935
BTC;USDT;1,50604E+12;3889.99;3910;3567;3609.99;1001.65
BTC;USDT;1,50612E+12;3592.84;3750;3505.55;3595.87;838.966
BTC;USDT;1,50621E+12;3595.88;3817.19;3542.91;3780;752.793
BTC;USDT;1,5063E+12;3779.54;3789.99;3622.76;3660.02;661.636
BTC;USDT;1,50638E+12;3660.02;3979.87;3653.69;3920.75;727.995
BTC;USDT;1,50647E+12;3928;3976.99;3850.05;3882.35;526.728
BTC;USDT;1,50656E+12;3882.36;4249.94;3872.81;4193;628.171
BTC;USDT;1,50664E+12;4192.11;4300;4101;4174.5;849.785
BTC;USDT;1,50673E+12;4178.98;4263.86;3952.01;4174.69;1602.31
BTC;USDT;1,50682E+12;4175;4380;4138.1;4378.51;720.353
BTC;USDT;1,5069E+12;4378.49;4406.52;4240.04;4378.48;726.964
BTC;USDT;1,50699E+12;4400;4561.63;4360;4380;655.757
BTC;USDT;1,50708E+12;4380;4467.33;4180.8;4310;1082.32
BTC;USDT;1,50716E+12;4314.9;4373;4142;4208.59;868.465
BTC;USDT;1,50725E+12;4208.59;4355;4110;4292.43;779.139
BTC;USDT;1,50733E+12;4318.99;4417;4292;4369;506.529
BTC;USDT;1,50742E+12;4369;4479.5;4312.56;4423;297.598
BTC;USDT;1,50751E+12;4425;4658;4425;4640;518.462
BTC;USDT;1,50759E+12;4640;4889.98;4550;4786.95;646.463
BTC;USDT;1,50768E+12;4786.95;4960;4680.59;4783.06;1043.22
BTC;USDT;1,50777E+12;4783.06;4881.61;4710;4821.43;753.429
BTC;USDT;1,50785E+12;4821.43;5439.99;4810.16;5430;1276.7
BTC;USDT;1,50794E+12;5439.99;5846.17;5379.84;5649.98;1879.83
BTC;USDT;1,50803E+12;5650;5900;5580.01;5869.99;970.759
BTC;USDT;1,50811E+12;5855.03;5922.3;5400.01;5709.99;1343.52
BTC;USDT;1,5082E+12;5710;5788.91;5585.19;5760.02;1529
BTC;USDT;1,50828E+12;5760;5774.98;5508.63;5595;1429.87
BTC;USDT;1,50837E+12;5595;5596;5037.95;5512.06;2317.8
BTC;USDT;1,50846E+12;5513;5710;5490.26;5683.9;1881.72
BTC;USDT;1,50854E+12;5683.31;6110;5600;6010.01;1972.98
BTC;USDT;1,50863E+12;6013.72;6171;5850.03;6024.97;1664.31
BTC;USDT;1,50872E+12;6003.27;6060;5720.03;5950.02;1362.09
BTC;USDT;1,5088E+12;5975;6080;5621.03;5915.93;1812.56
BTC;USDT;1,50889E+12;5909.47;5925;5450;5477.03;2580.42
BTC;USDT;1,50898E+12;5506.92;5704.96;5286.98;5689.99;2282.81
BTC;USDT;1,50906E+12;5670.1;5939.99;5650;5861.77;1972.97
BTC;USDT;1,50915E+12;5861.77;5980;5649.24;5768.83;1403.71
BTC;USDT;1,50924E+12;5768.79;5850.02;5630.03;5719.64;1276.75
BTC;USDT;1,50932E+12;5709.98;6189.88;5648.01;6169.98;1804.78
BTC;USDT;1,50941E+12;6133.01;6248.68;6030;6120.5;1473.69
BTC;USDT;1,50949E+12;6120.52;6498.01;6100;6463;1511.77
BTC;USDT;1,50958E+12;6463;6774.67;6338.02;6753.98;1675.62
BTC;USDT;1,50967E+12;6753.98;7300;6685.1;7019.98;2503.61
BTC;USDT;1,50975E+12;7010.31;7346.34;6923;7115.04;1891.5
BTC;USDT;1,50984E+12;7115.02;7480.99;6901;7357.09;1399.19
BTC;USDT;1,50993E+12;7357.27;7590.25;7279.02;7345.01;1207.83
BTC;USDT;1,51001E+12;7345.1;7401;6906;6960.12;1763.02
BTC;USDT;1,5101E+12;6981.72;7198.49;6901;7064.04;1440.26
BTC;USDT;1,51019E+12;7070;7770.02;6651;7303;2822.3
