Date;MarketCap;TradeVolume;ClosePrice
31/12/2013;9358690000;23448600;767.74
02/01/2014;9417080000;16837800;772.53
03/01/2014;10062400000;54171500;825.47
04/01/2014;10351000000;36344700;849.14
05/01/2014;11207500000;62414600;919.41
06/01/2014;11414400000;88584600;936.38
07/01/2014;10107700000;80268100;826.5
08/01/2014;10256300000;78060300;838.32
09/01/2014;10443900000;58813600;853.29
10/01/2014;10570400000;29763600;863.3
11/01/2014;10630200000;40171100;867.45
13/01/2014;10309300000;42950500;840.96
14/01/2014;10555400000;28600400;860.44
16/01/2014;10283900000;18719700;837.98
17/01/2014;9979240000;39266000;812.9
18/01/2014;10315700000;18052700;840
19/01/2014;10293300000;17574100;838.17
20/01/2014;10677300000;25421600;869.15
21/01/2014;10686800000;26779700;869.57
22/01/2014;10635000000;17879900;865.03
23/01/2014;10417300000;18412100;846.97
24/01/2014;9945390000;20176000;808.32
25/01/2014;10508800000;22676800;853.51
27/01/2014;10984400000;32539200;891.86
28/01/2014;9573530000;61878700;777
29/01/2014;10067700000;33409200;816.85
30/01/2014;10074800000;16261700;817.17
31/01/2014;10087800000;31107400;817.93
01/02/2014;10271700000;14722200;832.52
02/02/2014;10323700000;19347600;836.41
03/02/2014;10043300000;12759200;813.38
04/02/2014;10281100000;14823400;832.36
05/02/2014;9951170000;47441900;805.08
07/02/2014;8918940000;65733100;721.32
08/02/2014;8315660000;34864400;672.07
10/02/2014;8535560000;38527400;689.65
11/02/2014;8638930000;121884000;697.76
12/02/2014;8115970000;65970400;655.26
13/02/2014;8077470000;19109100;651.91
14/02/2014;7729130000;90917600;623.57
15/02/2014;7986580000;57350800;644.1
16/02/2014;7614460000;24104900;613.85
17/02/2014;8005430000;48516100;645.14
18/02/2014;7758140000;22066400;625.01
19/02/2014;7377410000;35743400;593.89
21/02/2014;7241460000;56059000;582.75
22/02/2014;7098400000;21675800;571.06
23/02/2014;7746490000;44590700;622.97
24/02/2014;7120130000;47229500;572.39
25/02/2014;6088840000;111102000;489.31
26/02/2014;7061200000;75039300;567.25
27/02/2014;7300960000;38219000;586.28
28/02/2014;7065920000;24649000;567.2
01/03/2014;6979710000;22903800;560.11
02/03/2014;7304050000;33049800;585.79
04/03/2014;8418890000;86124600;675
05/03/2014;8169320000;16659800;654.55
07/03/2014;7711030000;29823000;617.62
08/03/2014;7623170000;21353000;610.37
09/03/2014;7947990000;15489000;636.17
10/03/2014;7763130000;16425700;621.17
11/03/2014;7803980000;12542300;624.23
12/03/2014;7979720000;20806300;638.07
13/03/2014;7994470000;12866600;639.03
14/03/2014;7879610000;11939800;629.67
15/03/2014;7987470000;5963930;638.07
16/03/2014;7812930000;13371500;623.705
18/03/2014;7676280000;23217800;612.622
19/03/2014;7653770000;15227500;610.636
20/03/2014;7423640000;20048500;592.07
21/03/2014;7303700000;38053400;582.303
22/03/2014;7041710000;17983700;561.22
23/03/2014;7127030000;10283000;567.779
24/03/2014;7175540000;17185800;571.418
25/03/2014;7317440000;18634700;582.55
26/03/2014;7343000000;17583200;584.442
27/03/2014;6331500000;79571600;503.661
29/03/2014;6317110000;26810900;502.302
30/03/2014;5912150000;17867800;469.938
31/03/2014;5756310000;56838500;457.399
01/04/2014;6023350000;35685800;478.716
02/04/2014;5506310000;49647600;437.515
03/04/2014;5604040000;40765500;447.082
04/04/2014;5641610000;22925500;448.879
05/04/2014;5824870000;13404500;464.826
06/04/2014;5808860000;10241400;460.703
07/04/2014;5775640000;9802770;457.792
08/04/2014;5718580000;10921600;450.464
09/04/2014;5589580000;13204400;440.198
10/04/2014;4611920000;55868300;360.841
11/04/2014;5318030000;62562800;420.056
12/04/2014;5321870000;19226500;420.66
13/04/2014;5234670000;22493500;414.949
14/04/2014;5802300000;50730200;457.634
15/04/2014;6522970000;49561000;520.123
16/04/2014;6674470000;56480100;529.162
17/04/2014;6278790000;34025500;494.4
18/04/2014;6074120000;19042400;478.231
19/04/2014;6353700000;19588200;501.552
20/04/2014;6312900000;12103100;497.318
21/04/2014;6284670000;15171400;492.673
22/04/2014;6187040000;9770190;484.853
23/04/2014;6231920000;8412030;487.525
24/04/2014;6350010000;9512220;494.273
25/04/2014;5857080000;44062400;458.807
26/04/2014;5822780000;11998000;453.8
27/04/2014;5542720000;9760120;437.922
28/04/2014;5593860000;20781700;436.92
29/04/2014;5683720000;15011900;443.27
30/04/2014;5690810000;13054700;444.997
01/05/2014;5821430000;11953600;455.091
02/05/2014;5716630000;8165770;443.473
03/05/2014;5570420000;9446960;434.033
04/05/2014;5554780000;5229830;433.943
05/05/2014;5518950000;8567760;429.076
06/05/2014;5463470000;10822700;426.763
07/05/2014;5590800000;16360700;439.3
08/05/2014;5609810000;8491460;437.363
09/05/2014;5730130000;8820050;447.493
10/05/2014;5795540000;5529660;452.505
11/05/2014;5598960000;11522900;436.283
12/05/2014;5633630000;5903390;439.19
13/05/2014;5625310000;5619470;437.305
14/05/2014;5669110000;6764830;444.247
15/05/2014;5712910000;6219940;444.25
16/05/2014;5725220000;5292980;445.165
17/05/2014;5737970000;2642090;445.853
18/05/2014;5706170000;7828550;444.213
19/05/2014;5706980000;11697300;443.87
20/05/2014;6214910000;59415400;483.417
21/05/2014;6294420000;20125900;488.772
22/05/2014;6716600000;28758400;522.608
23/05/2014;6662960000;30253300;524.475
24/05/2014;6727960000;10236400;523.108
25/05/2014;7325370000;43762400;569.377
26/05/2014;7479340000;26174600;579.622
27/05/2014;7325150000;33059200;569.475
28/05/2014;7402210000;15739200;571.553
29/05/2014;7290260000;14363000;565.26
30/05/2014;7897760000;42271700;621.147
31/05/2014;8007250000;18656400;620.5
01/06/2014;8094130000;53565200;640.162
02/06/2014;8487590000;41153700;656.41
03/06/2014;8580310000;37419400;667.368
04/06/2014;8249180000;43722700;641.183
05/06/2014;8478550000;24809800;658.1
06/06/2014;8409350000;14032400;648.63
07/06/2014;8428210000;12954100;651.708
08/06/2014;8445490000;6819170;649.898
09/06/2014;8290260000;15165300;643.905
10/06/2014;8359490000;13698500;649.057
11/06/2014;8116780000;20706200;630.037
12/06/2014;7309310000;41032300;567.175
13/06/2014;7666330000;37950600;594.683
14/06/2014;7350660000;33752600;570.003
15/06/2014;7526350000;19377500;583.41
16/06/2014;7646620000;25803400;592.52
17/06/2014;7838350000;14064800;607.158
18/06/2014;7802400000;14955800;604.19
19/06/2014;7665350000;11266400;593.388
20/06/2014;7625130000;14900000;590.055
21/06/2014;7643410000;8305000;591.257
22/06/2014;7694630000;9952320;595.037
23/06/2014;7582630000;11249400;586.148
24/06/2014;7537050000;11613400;582.415
25/06/2014;7268690000;18237200;561.472
26/06/2014;7505650000;12733900;579.587
